LATITUDE,LONGITUDE,BRIGHTNESS,SCAN,TRACK,ACQ_DATE,ACQ_TIME,SATELLITE,INSTRUMENT,CONFIDENCE,VERSION,BRIGHT_T31,FRP,DAYNIGHT,TYPE
7.9175000000,8.7164000000,317.5000000000,2.1000000000,1.4000000000,2019-01-01,"1231",Aqua,MODIS,"46","6.03",294.2000000000,19.3000000000,D,"0"
6.7776000000,8.5535000000,336.4000000000,2.3000000000,1.5000000000,2019-01-01,"1231",Aqua,MODIS,"87","6.03",305.4000000000,88.3000000000,D,"0"
6.6142000000,8.4374000000,320.0000000000,2.3000000000,1.5000000000,2019-01-01,"1231",Aqua,MODIS,"71","6.03",302.0000000000,28.2000000000,D,"0"
7.9185000000,8.7095000000,317.8000000000,2.1000000000,1.4000000000,2019-01-01,"1231",Aqua,MODIS,"51","6.03",295.1000000000,21.1000000000,D,"0"
7.6936000000,8.3793000000,319.7000000000,2.3000000000,1.5000000000,2019-01-01,"1231",Aqua,MODIS,"44","6.03",295.9000000000,24.0000000000,D,"0"
7.6890000000,8.3451000000,326.2000000000,2.3000000000,1.5000000000,2019-01-01,"1231",Aqua,MODIS,"51","6.03",294.6000000000,45.3000000000,D,"0"
7.6869000000,8.3387000000,322.8000000000,2.3000000000,1.5000000000,2019-01-01,"1231",Aqua,MODIS,"67","6.03",294.0000000000,37.3000000000,D,"0"
8.5658000000,11.0621000000,331.6000000000,1.4000000000,1.2000000000,2019-01-01,"1231",Aqua,MODIS,"77","6.03",311.9000000000,24.3000000000,D,"0"
8.5714000000,11.0559000000,338.7000000000,1.4000000000,1.2000000000,2019-01-01,"1231",Aqua,MODIS,"85","6.03",312.5000000000,38.2000000000,D,"0"
8.5640000000,11.0498000000,331.3000000000,1.4000000000,1.2000000000,2019-01-01,"1231",Aqua,MODIS,"77","6.03",312.1000000000,23.2000000000,D,"0"
7.6902000000,8.3591000000,321.2000000000,2.3000000000,1.5000000000,2019-01-01,"1231",Aqua,MODIS,"67","6.03",294.2000000000,31.1000000000,D,"0"
7.5324000000,8.1863000000,317.1000000000,2.3000000000,1.5000000000,2019-01-01,"1231",Aqua,MODIS,"57","6.03",295.2000000000,19.5000000000,D,"0"
8.2539000000,11.5052000000,319.5000000000,1.3000000000,1.1000000000,2019-01-01,"1231",Aqua,MODIS,"42","6.03",303.3000000000,12.5000000000,D,"0"
8.2615000000,11.4985000000,320.2000000000,1.3000000000,1.1000000000,2019-01-01,"1231",Aqua,MODIS,"47","6.03",302.9000000000,15.0000000000,D,"0"
7.6359000000,7.2167000000,316.3000000000,2.8000000000,1.6000000000,2019-01-01,"1231",Aqua,MODIS,"52","6.03",302.2000000000,26.8000000000,D,"0"
9.1436000000,11.7698000000,324.0000000000,1.2000000000,1.1000000000,2019-01-01,"1231",Aqua,MODIS,"41","6.03",309.8000000000,8.8000000000,D,"0"
6.8532000000,8.6164000000,324.1000000000,2.2000000000,1.4000000000,2019-01-01,"1231",Aqua,MODIS,"75","6.03",303.7000000000,37.5000000000,D,"0"
9.2683000000,11.7891000000,330.3000000000,1.2000000000,1.1000000000,2019-01-01,"1231",Aqua,MODIS,"72","6.03",311.9000000000,17.5000000000,D,"0"
6.6299000000,9.5306000000,315.2000000000,1.9000000000,1.4000000000,2019-01-01,"1231",Aqua,MODIS,"61","6.03",299.6000000000,17.7000000000,D,"0"
7.4611000000,11.6769000000,319.2000000000,1.3000000000,1.1000000000,2019-01-01,"1231",Aqua,MODIS,"50","6.03",302.2000000000,12.0000000000,D,"0"
7.4614000000,11.6823000000,319.9000000000,1.3000000000,1.1000000000,2019-01-01,"1231",Aqua,MODIS,"46","6.03",303.6000000000,14.5000000000,D,"0"
7.0074000000,11.3859000000,315.1000000000,1.4000000000,1.2000000000,2019-01-01,"1231",Aqua,MODIS,"28","6.03",302.1000000000,10.7000000000,D,"0"
7.2119000000,11.0554000000,312.7000000000,1.4000000000,1.2000000000,2019-01-01,"1231",Aqua,MODIS,"24","6.03",299.7000000000,8.7000000000,D,"0"
6.9262000000,8.7462000000,319.5000000000,2.2000000000,1.4000000000,2019-01-01,"1231",Aqua,MODIS,"64","6.03",305.3000000000,16.4000000000,D,"0"
7.7582000000,8.2170000000,323.1000000000,2.3000000000,1.5000000000,2019-01-01,"1231",Aqua,MODIS,"65","6.03",304.0000000000,27.4000000000,D,"0"
8.3537000000,11.6974000000,320.3000000000,1.3000000000,1.1000000000,2019-01-01,"1231",Aqua,MODIS,"51","6.03",304.6000000000,13.0000000000,D,"0"
7.9085000000,11.2592000000,326.5000000000,1.4000000000,1.2000000000,2019-01-01,"1231",Aqua,MODIS,"72","6.03",306.2000000000,24.4000000000,D,"0"
7.0018000000,8.7297000000,323.9000000000,2.2000000000,1.4000000000,2019-01-01,"1231",Aqua,MODIS,"75","6.03",306.7000000000,29.9000000000,D,"0"
7.8047000000,11.8550000000,336.0000000000,1.3000000000,1.1000000000,2019-01-01,"1231",Aqua,MODIS,"85","6.03",302.4000000000,43.0000000000,D,"0"
6.9250000000,8.7416000000,321.3000000000,2.2000000000,1.4000000000,2019-01-01,"1231",Aqua,MODIS,"71","6.03",305.3000000000,23.4000000000,D,"0"
7.7291000000,8.1844000000,331.7000000000,2.3000000000,1.5000000000,2019-01-01,"1231",Aqua,MODIS,"82","6.03",301.9000000000,63.9000000000,D,"0"
6.7885000000,6.9810000000,318.1000000000,3.0000000000,1.7000000000,2019-01-01,"1231",Aqua,MODIS,"63","6.03",295.5000000000,41.7000000000,D,"0"
7.7250000000,8.1799000000,329.5000000000,2.3000000000,1.5000000000,2019-01-01,"1231",Aqua,MODIS,"66","6.03",302.2000000000,50.9000000000,D,"0"
